agree,同意
yet,adv.还
academy,n.学院
ancient,adj.古代的；古老的
board,n.木板
century,n.一百年
clue,n.线索
concert,n.音乐会
county,n.县（美国）
dictionary,n.字典
exist,v.存在
flat,adj.水平的
gentleman,n.绅士
hidden,adj.隐藏的；隐秘的
maybe,adv.也许
officer,n.军官
original,adj.最早的
pound,v.砸；夯实
process,n.过程
publish,v.出版；发行
theater,n.剧场
wealth,n.（大量）钱财
appreciate,v.欣赏
available,adj.可以获得的
beat,v.超过
bright,adj.明亮的
celebrate,v.庆祝
determine,v.确定
disappear,v.消失
else,adj.别的
fair,adj.合理的
flow,v.流动
forward,adv.向前
hill,n.小山
level,n.水平；高度
lone,adj.孤身的
puddle,n.水洼
response,n.答复
season,n.季节
solution,n.解决办法
waste,v.浪费
whether,conj. 或者…（或者）
argue,v.争论
communicate,v.交流
crowd,n.人群
depend,v.依靠
dish,n.盘子
empty,adj.空的
exact,adj.准确的
fresh,adj.新鲜的
gather,v.采集
indicate,v.指示
item,n.一件物品
offer,v.（主动）提供
price,n.价格
product,n.产品
property,n.财产
purchase,v.购买
recommend,v.建议
select,v.挑选
tool,n.工具
treat,v.对待
alive,adj.活着的
bone,n.骨头
bother,v.费心
captain,n.船长；机长
conclusion,n.结尾
doubt,n.怀疑
explore,v.探索
foreign,adj.外国的
glad,adj.高兴的
however,adv.然而
injustice,n.不公正
international,adj.国际的
lawyer,n.律师
mention,v.提到
policy,n.原则
social,adj.社会性的
speech,n.演讲
staff,n.全体职员
toward,prep.接近
wood,n.木头
achieve,v.取得成功
advise,v.建议
already,adv.已经
basic,adj.基础的
bit,n.一点
consider,v.考虑
destroy,v.破坏
entertain,v.使快乐
extra,adj.额外的
goal,n.目标
lie,v.骗
meat,n.肉
opinion,n.看法
real,adj.真的
reflect,v.反射
regard,v.看待
serve,v.招待
vegetable,n.蔬菜
war,n.战争
worth,adj.值某金额
appear,v.显得
base,n.底面
brain,n.大脑
career,n.职业（生涯）
clerk,n.店员；职员
effort,n.努力
enter,v.进入
excellent,adj.极好的
hero,n.英雄
hurry,v.仓促地做某事
inform,v.通知
later,adv.晚
leave,v.离开
locate,v.找出…的准确位置
nurse,n.护士
operation,n.手术
pain,n.疼痛
refuse,v.拒绝
though,conj.尽管
various,adj.各种各样的
actual,adj.真实的
amaze,v.使大为惊奇
charge,n.费用
comfort,v.安慰
contact,v.联系
customer,n.顾客
deliver,v.递送
earn,v.挣得
gate,n.大门
include,v.包括
manage,v.管理
mystery,n.迷
occur,v.发生
opposite,n.相反的事物
plate,n.盘子
receive,v.收到
reward,n.回报
set,v.放置
steal,v.偷
thief,n.小偷
advance,v.前进
athlete,n.运动员
average,adj.普通的
behavior,n.行为
behind,prep.在…的后面
course,n.课程
lower,v.降低
match,v.相同；配对
member,n.成员
mental,adj.精神的
passenger,n.旅客
personality,n.个性
poem,n.诗
pole,n.杆
remove,v.去除
safety,n.安全
shoot,v.射击
sound,v.敲响
swim,v.游泳
web,n.蜘蛛网
block,n.块
cheer,v.欢呼
complex,adj.复杂的
critic,n.评论家
event,n.事件
exercise,v.锻炼
fit,v.适合
friendship,n.友谊
guide,n.向导
lack,n.缺乏
passage,n.通道
perform,v.表演
pressure,n.压力
probable,adj.很可能的
public,adj.公共的
strike,v.击打
support,v.支持
task,n.任务
unite,v.联合
term,n. 词；术语
associate,v.联系
environment,n.环境
factory,n.工厂
feature,n.特点
instance,n.例子
involve,v.涉及
medicine,n.药
mix,n.混合物
organize,v.安排
period,n.一段时间
populate,v.居住于
produce,v.出产
range,n.系列
recognize,v.认出
regular,adj.定期的
sign,n.征兆
tip,n.尖端
tradition,n.传统
trash,n.垃圾
wide,adj.宽阔的
